Height,A0,B0,C0,D0,E0,F0,G0,H0,Result
500156,6,4,7,3,7,3,9,8,7
500157,8,5,3,2,2,8,6,3,7
500158,5,8,9,6,6,7,2,2,1
500159,2,7,6,5,8,2,1,5,6
500160,9,4,3,3,5,1,7,2,2
500161,4,9,9,7,1,7,4,7,1
500162,3,9,7,4,8,3,7,9,6
500163,6,3,6,9,8,7,8,1,7
500164,4,2,3,7,9,4,8,5,4
500165,7,9,5,1,6,7,3,6,8
500166,9,9,6,7,9,9,5,3,4
500167,9,8,9,3,6,2,3,2,4
500168,3,5,5,2,8,7,1,9,1
500169,6,4,4,4,6,2,6,2,8
500170,5,8,7,9,4,4,3,1,6
500171,6,4,7,1,2,6,1,9,3
500172,3,6,7,5,2,4,4,8,6
500173,6,4,1,5,7,3,1,7,7
500174,5,7,9,4,7,1,1,1,6
500175,2,5,2,3,6,8,8,7,5
500176,5,2,1,9,2,2,6,3,9
500177,1,9,7,4,6,1,9,7,2
500178,5,5,8,9,2,3,9,9,9
500179,7,7,2,4,4,6,2,5,1
500180,4,3,4,8,1,9,7,3,1
500181,9,9,4,4,7,5,9,3,2
500182,4,5,4,7,1,9,3,4,2
500183,5,2,3,9,9,8,6,1,7
500184,2,2,5,8,2,4,2,8,8
500185,1,8,5,2,7,2,7,1,3
500186,7,7,7,2,9,1,8,3,3
500187,8,6,8,9,1,1,9,7,3
500188,5,8,2,3,3,9,7,6,1
500189,1,9,6,9,1,8,4,8,7
500190,2,5,3,3,1,5,8,6,5
500191,4,9,9,4,3,8,3,5,4
500192,3,7,2,8,1,2,2,5,8
500193,4,3,7,2,2,3,9,5,7
500194,2,3,6,7,6,8,6,9,4
500195,1,2,6,7,1,7,4,3,8
500196,1,1,8,5,2,1,6,6,2
500197,4,1,2,1,6,2,9,2,9
500198,1,5,9,4,7,6,9,1,7
500199,4,1,6,9,2,3,8,8,7
500200,5,3,9,8,6,6,7,2,8
500201,7,3,2,3,1,8,5,5,2
500202,8,6,2,8,4,2,1,8,4
500203,9,1,7,5,9,9,4,5,4
500204,4,5,5,3,3,7,6,6,1
500205,4,7,3,8,6,4,6,4,5
500206,6,4,7,4,8,6,6,9,5
500207,6,2,9,5,9,1,8,7,4
500208,5,3,5,5,5,8,3,2,6
500209,7,5,2,8,5,1,9,3,2
500210,4,2,9,2,7,2,1,1,1
500211,3,9,9,5,5,4,7,5,5
500212,7,8,7,5,1,4,7,7,5
500213,9,7,6,4,3,8,6,4,9
500214,2,7,9,4,3,1,3,1,9
500215,4,1,3,3,6,4,9,1,9
500216,1,6,6,2,2,4,1,3,9
500217,7,3,2,3,7,3,8,1,4
500218,9,6,9,3,1,3,8,4,7
500219,1,5,1,8,8,2,6,1,6
500220,8,6,6,4,7,5,1,7,2
500221,9,5,7,9,3,5,8,2,9
500222,5,1,9,6,6,1,1,2,8
500223,4,4,2,5,3,8,6,2,6
500224,1,7,6,4,5,6,1,2,3
500225,3,3,3,8,7,4,1,5,9
500226,8,9,7,9,7,8,7,9,4
500227,7,7,4,1,9,2,2,6,3
500228,7,6,1,9,1,3,2,1,1
500229,6,1,2,3,9,2,7,7,2
500230,2,9,2,9,2,9,8,5,1
500231,9,3,7,9,7,7,6,1,3
500232,8,4,5,5,8,1,6,5,3
500233,9,7,5,7,2,2,6,6,1
500234,4,8,2,1,7,6,2,2,2
500235,1,3,7,2,1,3,4,5,4
500236,6,8,6,9,1,1,5,7,6
500237,8,6,8,5,3,8,8,5,8
500238,5,2,4,9,6,9,1,8,6
500239,5,7,2,9,8,5,6,2,8
500240,6,7,2,6,3,8,4,3,3
500241,6,1,3,7,7,7,9,4,2
500242,9,1,8,3,3,8,4,7,5
500243,1,6,7,2,9,2,7,5,1
500244,1,9,2,1,9,8,1,6,9
500245,9,4,1,2,8,4,8,7,2
500246,3,6,6,9,4,7,5,8,7
500247,9,5,6,7,7,5,7,3,2
500248,6,8,9,9,6,7,9,7,1
500249,1,8,9,5,4,3,1,5,9
500250,1,7,5,5,3,1,4,3,2
500251,9,7,6,7,7,2,6,1,4
500252,8,9,2,9,4,2,5,4,4
500253,1,1,1,7,6,8,5,3,9
500254,8,1,2,5,3,2,3,7,2
500255,5,5,9,5,4,3,7,3,2
500256,9,3,9,4,2,2,7,8,3
500257,4,1,8,5,7,5,7,7,6
500258,5,9,7,5,6,3,5,8,7
500259,8,5,9,1,7,5,8,7,8
500260,5,2,3,4,3,4,7,4,7
500261,7,9,1,6,3,2,7,4,1
500262,4,8,7,2,9,7,4,7,8
500263,7,1,7,5,2,4,6,3,6
500264,5,6,3,7,5,2,5,5,7
500265,7,8,7,8,9,2,6,1,3
500266,9,3,1,3,6,9,7,7,7
500267,5,7,9,2,1,4,6,8,8
500268,9,2,4,6,4,5,4,1,2
500269,6,9,7,2,5,6,9,6,8
500270,6,1,8,3,5,8,6,1,5
500271,6,9,1,4,6,7,2,5,4
500272,3,1,7,6,5,1,9,6,3
500273,2,2,5,3,3,4,3,2,6
500274,4,1,1,5,3,3,4,7,6
500275,5,7,9,5,4,8,2,2,5
500276,9,3,4,7,2,3,8,2,4
500277,3,9,3,8,7,4,1,7,5
500278,9,2,7,2,1,2,8,8,6
500279,7,1,2,3,3,3,6,7,1
500280,7,5,2,2,4,6,3,7,9
500281,5,1,2,7,3,5,2,7,3
500282,4,6,1,6,8,4,6,1,2
500283,5,7,3,6,1,2,8,6,7
500284,6,3,3,7,1,1,9,3,4
500285,7,8,3,2,9,5,9,1,4
500286,4,2,8,9,5,4,5,6,3
500287,4,8,9,4,3,2,3,6,8
500288,2,2,4,3,9,3,9,5,7
500289,5,8,8,4,9,3,8,1,7
500290,3,1,4,5,4,2,6,3,2
500291,6,4,3,7,8,4,2,6,1
500292,3,4,1,3,3,3,4,6,4
500293,1,3,3,3,7,5,9,6,4
500294,5,6,1,6,1,1,8,2,5
500295,7,4,7,2,9,7,6,3,1
500296,8,1,5,7,2,8,1,6,7
500297,1,6,1,2,5,6,6,1,6
500298,3,9,5,4,2,3,9,8,3
500299,6,2,7,4,7,2,9,1,3
500300,3,6,9,1,4,1,7,8,2
500301,9,2,3,3,1,6,8,8,1
500302,9,4,9,8,5,5,5,9,8
500303,2,9,7,5,6,9,4,9,8
500304,9,1,8,9,2,7,1,3,8
500305,8,5,2,4,9,7,3,6,7
500306,2,7,9,9,3,2,5,1,2
500307,2,1,1,1,7,6,9,7,4
500308,9,7,6,5,9,6,8,9,1
500309,2,6,8,5,1,1,7,6,9
500310,3,9,4,9,2,7,9,3,7
500311,2,9,1,8,9,2,4,9,8
500312,7,1,4,1,6,1,5,8,9
500313,9,8,2,2,6,3,7,5,1
500314,4,5,2,3,1,7,4,5,7
500315,2,5,2,4,1,1,8,9,5
500316,7,4,2,7,1,5,3,5,6
500317,5,1,2,8,9,8,8,9,2
500318,1,6,6,5,8,7,2,6,4
500319,7,3,3,6,2,7,7,4,6
500320,3,8,2,6,2,3,5,2,3
500321,8,4,5,7,8,6,6,6,9
500322,1,9,1,9,7,8,4,8,2
500323,8,2,6,5,2,3,8,1,5
500324,3,1,9,3,9,4,4,3,7
500325,9,4,7,1,7,1,5,1,3
500326,7,1,2,7,4,7,2,4,4
500327,9,3,6,6,4,1,9,3,4
500328,9,1,8,8,3,4,8,5,7
500329,9,7,9,8,2,3,3,3,4
500330,9,4,5,8,3,8,4,7,2
500331,2,5,7,9,3,5,6,4,3
500332,6,2,9,6,9,8,2,2,9
500333,5,5,8,8,8,7,8,4,6
500334,4,9,1,8,5,3,2,6,3
500335,7,1,9,9,6,1,2,1,1
500336,7,3,6,2,8,5,6,9,4
500337,8,8,3,5,3,1,7,4,1
500338,1,7,6,6,3,5,9,5,4
500339,2,5,5,7,6,9,3,6,4
500340,5,5,5,8,6,9,9,5,1
500341,5,2,8,9,7,4,1,1,6
500342,3,1,2,8,9,1,4,2,4
500343,5,7,6,5,7,5,9,9,2
500344,8,3,4,2,4,6,4,4,2
500345,9,2,1,9,1,5,2,9,9
500346,6,7,7,2,2,7,8,4,8
500347,7,9,2,8,2,3,3,2,4
500348,9,6,5,6,5,1,4,8,1
500349,1,3,5,8,6,7,9,5,2
500350,2,4,3,6,7,6,2,5,2
500351,3,6,7,9,5,6,7,2,3
500352,8,8,7,4,5,6,6,6,8
500353,9,6,3,5,3,5,3,4,8
500354,6,3,2,6,9,3,9,9,7
500355,4,5,9,6,9,3,8,7,6
500356,7,4,5,5,6,7,3,9,3
500357,5,2,7,4,3,9,5,9,7
500358,7,1,9,2,5,4,5,9,2
500359,8,2,1,3,2,9,1,1,9
500360,3,1,4,6,5,9,6,7,5
500361,2,4,8,3,1,4,3,7,7
500362,7,5,6,7,1,7,7,2,7
500363,5,7,4,8,1,2,1,9,3
500364,1,8,9,7,3,5,6,7,5
500365,9,6,4,8,5,9,5,1,1
500366,5,2,7,2,9,7,5,4,9
500367,9,4,6,3,6,3,4,4,2
500368,9,4,1,8,6,7,3,1,1
500369,5,2,3,4,9,4,9,8,5
500370,1,8,2,7,1,9,1,5,1
500371,4,6,5,5,7,7,8,1,2
500372,6,6,8,4,3,2,4,8,9
500373,2,1,9,5,4,4,1,2,6
500374,2,8,6,6,2,9,5,5,9
500375,2,1,4,4,1,2,1,4,5
500376,9,4,7,6,8,4,3,2,1
500377,6,2,7,9,3,9,4,7,3
500378,9,7,8,8,3,3,9,9,4
500379,4,5,8,1,2,8,7,9,2
500380,4,7,3,9,6,5,2,9,6
500381,1,6,3,7,9,6,7,4,3
500382,9,5,4,7,6,2,1,8,4
500383,5,8,6,3,1,8,4,8,4
500384,7,7,4,5,4,9,6,8,8
500385,8,4,1,4,4,2,8,6,6
500386,9,9,5,5,2,4,4,4,7
500387,1,4,8,8,5,3,5,7,9
500388,4,7,3,4,4,4,4,5,7
500389,9,6,8,9,7,6,9,6,2
500390,6,5,9,9,4,2,8,8,7
500391,2,8,5,1,2,7,5,4,7
500392,5,8,1,9,8,5,9,2,3
500393,9,2,2,3,9,8,1,5,9
500394,4,9,3,6,9,2,4,2,9
500395,4,4,1,9,3,7,7,5,6
500396,4,7,7,9,8,8,7,9,9
500397,7,4,3,1,1,4,5,4,2
500398,1,4,8,4,5,4,3,2,5
500399,5,2,6,3,4,6,4,9,2
500400,8,6,5,1,2,6,4,4,7
500401,1,9,9,6,8,2,1,4,1
500402,4,4,1,6,5,2,9,5,3
500403,1,8,2,5,3,5,6,8,4
500404,7,4,3,5,7,2,6,1,2
500405,7,2,9,8,6,5,2,4,7
500406,5,5,7,2,5,6,6,7,3
500407,4,9,6,7,1,9,6,1,6
500408,1,9,3,3,8,7,2,4,5
500409,6,2,6,9,4,4,4,2,1
500410,3,8,5,9,6,2,8,1,6
500411,1,7,2,1,4,3,2,4,5
500412,4,9,4,9,5,2,9,2,2
500413,7,8,5,4,3,5,5,3,9
500414,7,4,5,9,9,8,9,2,5
500415,3,4,6,1,4,9,4,4,8
500416,2,1,1,3,9,6,4,8,2
500417,8,3,4,1,5,1,3,7,8
500418,8,6,4,5,4,1,6,6,1
500419,5,7,4,4,3,1,3,5,7
500420,6,6,8,1,6,8,1,7,6
500421,7,7,8,6,3,2,8,4,4
500422,1,9,8,6,6,2,3,9,5
500423,9,3,2,5,5,4,5,2,6
500424,5,7,2,4,9,2,8,9,9
500425,6,1,6,9,8,3,6,2,7
500426,8,6,8,3,5,4,7,7,7
500427,2,8,1,3,6,5,9,4,8
500428,7,8,5,6,5,5,6,3,6
500429,2,5,4,8,8,6,2,1,3
500430,7,6,7,4,6,8,4,9,7
500431,7,3,6,1,6,9,4,3,3
500432,2,2,8,3,9,1,4,9,7
500433,4,6,4,9,9,7,6,1,9
500434,3,5,5,3,7,9,1,9,5
500435,2,9,8,9,5,5,9,2,7
500436,4,7,2,5,3,3,8,8,4
500437,6,1,2,7,6,3,9,3,9
500438,8,5,9,3,2,8,4,5,1
500439,5,3,7,5,8,7,2,5,8
500440,1,7,7,2,9,2,5,9,8
500441,8,2,2,9,6,6,3,1,1
500442,6,1,5,2,9,2,3,3,3
500443,9,4,3,7,8,5,3,8,4
500444,4,3,7,6,7,9,2,1,4
500445,1,6,8,3,7,2,7,2,2
500446,4,4,4,9,2,2,4,3,9
500447,1,1,6,1,2,3,9,9,1
500448,3,4,6,5,1,7,7,1,3
500449,1,4,6,3,2,8,7,3,4
500450,5,5,6,2,8,8,4,7,5
500451,6,6,1,7,2,9,6,2,1
500452,4,6,3,6,6,4,5,2,3
500453,3,3,2,5,8,7,4,9,2
500454,8,6,1,5,8,9,5,6,1
500455,4,4,6,3,8,7,7,6,7
500456,5,8,5,3,1,9,8,9,3
500457,1,1,3,6,5,6,7,4,6
500458,6,2,4,2,3,2,1,7,9
500459,5,2,6,3,1,1,2,6,9
500460,2,8,5,1,5,9,9,1,5
500461,6,3,3,5,9,8,8,5,6
500462,5,5,9,8,2,4,7,6,9
500463,1,9,5,4,5,9,4,1,4
500464,4,1,3,4,7,3,6,1,4
500465,4,2,4,5,7,4,9,8,9
500466,5,7,7,4,7,6,7,6,4
500467,7,4,6,6,5,9,4,7,7
500468,5,4,1,3,1,5,2,9,1
500469,1,5,8,7,7,7,2,3,3
500470,5,4,2,3,8,8,8,5,2
500471,2,9,8,6,1,7,5,9,7
500472,5,6,4,2,8,6,7,1,8
500473,2,9,3,2,5,3,4,5,6
500474,6,7,5,3,6,3,7,3,4
500475,2,4,3,3,9,6,7,2,4
500476,1,5,7,8,9,1,3,3,2
500477,5,7,3,5,4,8,3,6,2
500478,4,5,4,1,4,1,7,9,2
500479,5,3,5,8,3,5,3,6,7
500480,1,1,5,8,4,6,6,3,8
500481,6,6,5,6,8,6,6,6,3
500482,5,7,7,6,7,4,8,4,5
500483,2,7,3,9,8,3,3,2,4
500484,8,4,2,8,9,2,8,2,4
500485,7,1,9,2,3,2,1,2,8
500486,8,5,6,7,8,2,2,3,3
500487,5,8,3,6,4,9,8,1,3
500488,4,8,9,8,1,4,3,6,4
500489,8,5,1,9,6,5,1,3,8
500490,2,5,6,1,4,2,5,9,1
500491,1,2,2,5,5,7,4,8,7
500492,2,5,4,6,7,1,8,7,2
500493,5,2,3,3,1,8,4,7,6
500494,7,5,3,3,2,6,1,2,7
500495,9,1,4,8,6,2,6,7,5
500496,9,2,3,2,7,7,5,4,6
500497,4,2,2,7,1,2,8,7,5
500498,7,7,6,6,7,1,1,4,6
500499,7,6,9,8,6,3,6,9,7
500500,7,2,2,9,5,7,1,8,9
500501,5,9,7,7,5,3,7,5,1
500502,3,9,6,7,7,1,8,4,7
500503,5,3,8,5,4,4,9,5,8
500504,9,6,3,4,4,8,4,9,1
500505,6,7,4,7,8,3,5,1,6
500506,9,8,8,4,8,7,2,6,9
500507,1,9,3,5,7,9,1,2,2
500508,6,3,9,2,8,8,4,5,4
500509,7,4,1,5,8,5,1,8,9
500510,4,8,3,8,6,3,3,8,6
500511,5,3,4,5,2,3,7,8,7
500512,9,2,9,2,9,4,1,1,7
500513,2,2,3,3,2,4,6,7,4
500514,5,9,2,1,4,3,7,6,5
500515,9,2,2,1,4,6,3,6,1
500516,6,3,4,3,6,4,9,3,3
500517,3,6,6,3,9,2,5,2,6
500518,8,3,1,4,3,8,1,7,9
500519,5,2,6,1,3,2,3,7,2
500520,9,9,1,1,2,1,6,4,4
500521,3,3,1,2,6,5,5,2,6
500522,1,5,4,3,6,6,5,4,4
500523,1,5,4,5,4,2,1,7,7
500524,5,7,2,8,1,9,3,3,3
500525,7,5,2,1,5,8,1,5,6
500526,8,8,4,5,2,9,4,3,9
500527,2,9,9,2,3,4,5,4,7
500528,3,1,2,8,9,4,5,6,9
500529,4,5,7,1,8,8,9,7,7
500530,6,2,8,3,4,9,6,6,7
500531,4,5,5,5,4,2,6,4,7
500532,3,8,6,3,7,9,3,3,3
500533,3,3,6,1,4,9,2,8,5
500534,7,2,4,5,7,9,3,1,2
500535,8,2,4,8,9,7,4,5,4
500536,7,7,5,7,6,7,1,4,4
500537,6,8,2,9,4,9,3,9,7
500538,7,6,1,9,5,8,1,5,1
500539,1,2,7,2,4,6,3,1,8
500540,3,7,3,2,9,5,1,6,4
500541,8,2,6,3,7,7,3,5,5
500542,8,1,6,4,9,2,4,8,8
500543,4,4,5,9,4,6,6,5,9
500544,1,3,1,8,1,4,5,6,8
500545,6,8,6,9,8,9,6,6,4
500546,3,4,1,9,2,7,5,6,3
500547,3,8,2,7,8,7,2,7,1
500548,7,8,5,7,8,1,8,8,1
500549,5,4,2,4,9,5,7,1,8
500550,3,1,9,4,9,9,5,3,4
500551,4,3,3,3,8,8,3,9,2
500552,9,6,2,5,6,5,2,5,3
500553,5,9,3,5,4,3,6,4,3
500554,3,5,4,8,1,2,3,9,5
500555,9,1,3,7,5,5,1,8,4
500556,2,3,3,9,7,1,2,6,5
500557,5,9,2,4,1,5,7,7,1
500558,3,8,3,2,4,3,7,8,5
500559,1,8,1,1,6,9,8,8,3
500560,2,2,7,6,2,9,1,2,9
500561,9,7,8,3,1,3,3,7,2
500562,3,3,9,1,6,4,2,2,4
500563,1,2,4,9,5,5,6,1,8
500564,4,9,9,7,4,9,4,9,6
500565,9,2,3,5,3,8,3,6,6
500566,6,5,1,2,2,2,1,9,1
500567,5,6,7,5,7,6,2,4,2
500568,6,8,2,7,3,2,6,2,2
500569,7,8,7,1,5,9,2,2,2
500570,8,3,6,9,7,3,8,7,2
500571,3,3,2,1,3,7,1,8,2
500572,5,9,7,7,3,2,9,3,6
500573,1,4,5,9,9,9,6,4,6
500574,3,1,3,2,4,7,3,3,3
500575,2,9,1,1,9,1,6,8,5
500576,2,7,5,3,4,6,8,3,9
500577,2,8,3,9,2,1,7,2,1
500578,1,3,4,6,3,4,6,5,5
500579,5,1,3,9,3,9,7,2,8
500580,4,2,1,4,5,2,4,2,5
500581,9,3,9,2,9,3,8,9,9
500582,3,1,7,7,9,2,5,3,5
500583,4,2,5,3,2,5,3,3,6
500584,3,3,4,4,9,9,2,5,5
500585,2,6,4,8,1,1,3,1,2
500586,1,4,6,5,1,4,3,1,9
500587,6,9,1,6,9,5,4,6,4
500588,6,3,8,9,3,9,8,8,3
500589,2,5,7,9,7,6,5,2,4
500590,7,2,9,7,1,5,8,3,9
500591,5,8,7,9,8,6,8,7,6
500592,6,3,3,2,5,1,8,7,4
500593,4,6,3,5,4,7,2,4,9
500594,2,2,8,7,4,3,1,2,4
500595,8,4,2,1,9,3,3,9,7
500596,1,8,4,7,6,1,4,2,6
500597,3,4,8,1,1,1,5,5,9
500598,3,8,3,5,3,4,4,9,9
500599,5,2,6,1,8,4,7,2,3
500600,3,3,6,2,8,5,7,7,9
500601,1,7,7,5,7,8,2,7,6
500602,3,5,2,7,7,5,3,3,2
500603,4,9,8,9,7,7,1,2,8
500604,9,9,5,2,1,6,5,6,2
500605,1,1,2,2,5,3,8,1,8
500606,7,3,1,4,9,3,5,9,6
500607,4,5,3,9,4,2,3,1,9
500608,8,3,3,8,8,6,4,4,2
500609,9,4,4,5,9,3,4,4,8
500610,2,3,1,4,3,3,9,3,2
500611,1,5,4,9,4,6,1,9,9
500612,6,6,3,6,9,2,1,1,7
500613,5,9,2,3,3,9,6,2,8
500614,5,7,2,2,4,2,8,8,4
500615,8,1,6,7,7,6,2,4,9
500616,8,3,2,5,6,6,1,6,8
500617,5,2,1,9,9,8,9,2,8
500618,6,1,4,2,1,6,2,7,7
500619,1,2,4,7,6,7,8,3,5
500620,1,8,1,8,4,9,4,6,4
500621,4,7,2,5,5,3,2,9,3
500622,8,6,1,1,3,5,8,3,4
500623,9,2,6,7,1,4,6,1,1
500624,3,9,7,4,9,2,2,2,9
500625,2,7,2,5,2,6,1,6,1
500626,4,8,1,3,5,5,9,1,8
500627,8,8,2,1,1,1,5,3,5
500628,6,6,7,8,6,6,7,9,5
500629,9,1,6,6,8,5,7,8,1
500630,7,2,9,8,2,8,3,9,2
500631,9,3,8,9,7,7,8,2,1
500632,6,5,5,3,9,3,9,9,8
500633,9,7,4,6,6,7,9,6,9
500634,8,7,7,1,1,5,1,4,2
500635,5,9,3,3,9,4,2,3,7
500636,5,5,1,9,8,8,9,1,5
500637,3,4,4,5,1,9,2,5,3
500638,1,3,7,8,7,4,1,3,4
500639,8,5,9,8,3,1,2,3,9
500640,2,9,3,7,6,4,5,9,5
500641,5,7,6,2,8,9,4,5,8
500642,3,5,8,7,7,8,2,7,5
500643,5,6,2,6,3,3,6,9,7
500644,7,7,3,5,7,3,9,2,3
500645,7,5,5,8,4,3,3,7,8
500646,5,7,8,8,5,9,1,7,2
500647,4,3,5,1,4,8,2,5,1
500648,3,6,3,8,3,7,5,8,2
500649,4,4,2,4,6,9,9,5,4
500650,2,9,5,8,4,6,2,4,9
500651,7,6,6,2,1,1,8,3,9
500652,8,8,2,9,3,4,1,6,6
500653,9,5,4,2,4,6,2,3,2
500654,3,5,4,5,1,9,6,9,1
500655,5,9,5,3,5,7,2,4,2
500656,9,5,6,5,8,9,9,5,9
500657,7,8,1,3,4,8,5,3,3
500658,7,7,1,2,5,2,4,6,5
500659,1,4,5,2,8,8,3,6,5
500660,4,4,7,3,5,7,8,7,7
500661,8,2,2,2,9,2,5,1,2
500662,1,8,7,6,5,7,9,7,3
