Height,A0,B0,C0,D0,E0,F0,G0,H0,result
500117,1056717687,650331364,1083603041,1302992988,433414633,62776263,3645347036,1016033516,2179457638
500118,1617266189,2944804162,2550504850,2458703202,309049221,761158158,2450912141,4192816611,3678176865
500119,3354670526,2446768686,2397141161,3074716388,2880854354,633860672,2104544721,1315107268,3596465332
500120,3521666087,3762693064,898815306,1280658119,2725666118,3363749103,3496057431,3824126685,3970135943
500121,2123582478,1897356044,2429927964,2016156916,3084598563,1603481612,528611575,661745097,2650157446
500122,1952410266,3287901484,20637061,775690319,1998022708,1783647323,3768199719,261674609,2504048545
500123,2922855382,3371510096,3336337097,2691958288,409874921,2486267720,1263303048,1663409354,1870874925
500124,3728308653,406214206,3583665227,1814139334,365912554,3532138163,1193077047,344775495,3650441669
500125,3946923210,789429047,3647272918,2574085572,2706096420,3491447577,585097987,2549971038,484750440
500126,3788311661,411154417,2432846913,1366706858,2159649957,3168929073,1247101092,414611191,2724851115
500127,862039632,1134017207,581925476,56587311,940078299,3888774950,1369126083,3963957397,56276459
500128,622590279,208902618,2973905964,2101165002,1232144480,1931018270,3903112699,3633484402,156468017
500129,797171654,695976715,2334660761,3574671019,3464956091,1139306632,3329893933,3648909616,303407382
500130,3793995120,2670878357,1807761523,579030856,3606547297,3453114435,1509906143,4264766194,1169706117
500131,689076814,3024670881,1445669759,2139687096,326412823,136749040,3922766661,3942869850,1559465865
500132,888238967,1234480416,354398481,639955027,3308939135,3211606383,1527201,2933934824,1443870769
500133,3958187045,3396220820,1010976060,2342644728,1683232442,1410515115,2022367078,262549491,1308643379
500134,3838981755,2904636234,3791067241,1629102439,815798363,1292329300,3135963174,1807450712,2453600832
500135,1784190841,665975329,261009845,2305331108,2892246678,3557766688,359171872,1943966419,769838934
500136,572352331,3320199633,1749844236,63781589,3818801964,928310914,3969273655,169984465,2764052364
500137,3972599489,711208962,3113647174,3303690019,2102256996,3824809625,260301483,40984396,1265558497
500138,382505570,3899430377,397292656,2419844356,377872392,521334853,2692637675,1039165092,1815207837
500139,4135739602,143125267,1809880631,4282823374,3258693690,239025128,194211386,3527898709,4170532433
500140,2210330103,230901094,1611603953,851214735,779355846,2140521059,278356775,3384208558,4033430574
500141,2415143414,32041487,849350206,2677230283,3804458918,3339248309,360151097,2111039993,3653962506
500142,16007583,3345597311,1700995105,3467731265,2170020417,2616932317,1820584654,3733087294,370537214
500143,1159515534,2256183806,882552942,4218418974,1264958036,470934309,908274555,4188352910,2058029564
500144,3657792958,1457740853,3513173096,2028091888,1205310980,4185429422,1485860427,2198546385,1946242376
500145,2494552279,2222521132,600806444,102675677,1086808659,954070296,2509440902,613596264,1099683747
500146,881334528,108051864,477897353,1584030319,2345837361,1639692575,4203963281,2906433753,2662703143
500147,156069116,2308904388,1641966220,1347944739,2236736318,977646064,844505745,3232636609,824615789
500148,542878689,142439186,2024835156,1546657872,4061078582,1290634955,3746832334,4099376443,3111375301
500149,772199294,2558933327,3527755560,2054269070,1973863556,4278127854,2861735199,2460096981,1915821583
500150,3911070186,1658255496,3658230453,3475287187,1893655676,1743389891,2123805404,1699515383,155639814
500151,1756256331,419256177,177715907,832889926,2335372101,2824189048,3427739558,2201601722,2467715392
500152,2741604330,2443988266,4081780311,3855177658,299961664,4022473178,1779656291,1905573186,3248987725
500153,1084842911,4262534183,2463997037,3866384676,1924661239,1834245124,3153029865,1418805140,206129929
500154,2164520908,3696669678,2279535634,797704551,1853336378,3695734678,2018022338,529332175,2149581590
500155,3845665683,559076336,3992841125,3382251263,3544244736,1402315636,2801705414,3258009367,488435781
500156,529955772,2097425884,3130439551,114641454,2161526488,3853304031,3631490622,3232801421,877582186
500157,3402629468,1116051611,3868927311,2198112068,2360822807,1233707003,1124839104,1624234710,505675330
500158,829410926,171848942,1205299341,2565202488,1517134308,1836360286,175924694,3155679002,1718003485
500159,3539259029,449413765,2859091575,3875257715,2932947395,3541696310,727146262,2619359861,1208864211
500160,2983689441,1900919002,3895747977,2740906218,2470530011,4036861009,3227999443,1605414881,763258457
500161,695874343,2096350020,1776241548,2855745196,1881335359,186774289,3276787675,3185662957,3782681587
500162,2167595580,1618769034,2434768891,3551694007,4096573523,2690809653,356898463,2254660569,1053196503
500163,2760855612,1015232853,2279313942,3909007053,3447249587,802336957,2509524530,2743495966,3609495565
500164,2499880909,4247666543,3793628694,4077464470,2068694991,1909483681,2477972780,3673035383,991300045
500165,330171316,2929887099,250633463,3126059677,120998670,3304046419,1626431970,668234697,2848724315
500166,2935573695,3793373829,3063812559,1027234654,2429589690,45588807,3791058395,2036634744,3933315994
500167,248484951,341855351,2568784347,4061892315,16010313,405221204,356520369,3017745812,69359377
500168,3944710317,124875878,3119643086,1057739114,2918167865,1228168510,2951339446,3866971293,3925231120
500169,4006773510,1392205693,1980106978,1809732874,3684199506,3419713685,3900084414,1134667676,3906448901
500170,3371098649,1712992688,2658075208,4099321737,4130715586,4286395471,2383291443,4015779616,236938056
500171,550550733,2477964640,550032793,1307664730,4134102959,4161767424,2710790506,3233315376,2634814038
500172,2474118768,1156488576,2490223156,1416485498,3744108929,1094560051,1866178363,2021744762,2521676283
500173,3336714933,3796648654,2220688981,1197850775,2284110160,2679190815,60550210,2943157327,1344154030
500174,420595007,3483058588,2523935421,2982924490,2311767448,2885844538,4047095710,1478652400,247304499
500175,2987533811,2450688053,1130866040,3908157573,2337253566,3291201836,42281063,3715236106,1253831450
500176,2433342452,3361140965,1749792376,4260328416,3041892209,47882000,3448828527,3334534392,1405722348
500177,1107126298,2061263907,939041251,396536575,3282912825,1505227249,2878071741,2221164043,1461498032
500178,2091387803,835781783,4180083677,1804712238,661145960,2404831593,305674083,1186953606,2466477171
500179,2484987505,4167803257,2476393220,1422122818,1536266344,3486554025,2981164070,4082925002,4278515050
500180,1957617886,4272417327,1107517369,975707720,2222962669,892023984,3923040031,2934522696,1701770248
500181,3230724015,1669504428,3258645556,1158644353,2128541083,1012041851,3970313343,40371330,2569158443
500182,968039680,1125333122,3852439600,178496701,1232749081,936659340,1253661492,1971643981,3903712625
500183,4271679878,1975895777,3898764453,4122062496,407811987,526812704,2621634252,3685280689,2706611308
500184,3151886024,2967905774,1768400051,2489106995,2384853968,2095054438,3288196199,2233814993,1032286805
500185,1574161480,3670152236,2907261518,3793144682,1112661394,1625193344,4094930491,3881368126,3219348648
500186,2586693400,3634122589,809386711,598575089,3973855023,3883683304,4079288672,2379929205,2294828400
500187,1791406268,1671704133,101023424,2517353919,4286608741,3516928264,3237899148,120783553,2642684898
500188,1115251925,2436888050,2985052277,4280042559,3399549501,2716161192,2384150965,4187325408,747463249
500189,3377985337,751615884,1065580476,1666924479,3624256441,1093201937,3412817743,2173548374,1840899715
500190,738008993,1519734173,2633711628,3949213692,2255285818,501634472,2181266810,609209079,262555484
500191,1584334498,2635855875,1435360347,358348234,3825008589,118810808,1484270616,432132017,1653572443
500192,144303096,960643870,294362786,1114642088,453068740,2854228295,1425092870,1261531220,562631714
500193,3574581403,2415062820,2495008285,3647047268,978493268,4264331205,3972813732,81985190,235332196
500194,1151737202,3288834606,588093549,920553190,3976724382,3338645399,3735231189,31491162,3036754030
500195,76433014,1604849978,3425523639,996182755,2003071447,1431859957,3251701993,1968570552,3160110734
500196,405364150,3692985724,2047589693,2103258623,1500549167,440573959,665966886,2939211546,3446393807
500197,3849499111,1441839844,248118626,927871345,2666762484,626394944,3845679633,343060931,1882935747
500198,201123082,820131314,3239301060,806037979,4253422570,2304708549,2900226609,3953171053,1430847106
500199,3101127988,355363489,1101668595,4235914422,3528941942,3235517643,2759040521,2597284052,920610970
500200,3014906117,3649115775,3528872910,3243379382,781523493,2895768033,857654944,2239032755,1141794215
500201,1258600552,621616827,3338699564,2970284439,2624892229,1437987410,3921406880,2683243049,3782419634
500202,510149447,2828303817,3046467341,3001322699,954090886,2307945440,1604893366,1919422106,111324739
500203,1780600239,2989615411,3838576228,1350736412,198300366,2965969224,2646822730,42803753,3271487683
500204,354829252,2239238948,3523132544,3879700140,1498109547,2114523556,425014116,1276506420,3193940017
500205,1622109415,1076975323,222841938,1347241517,1889350908,3121894525,2752107918,727841047,41400662
500206,1365927864,1197907771,4192038250,2077301380,1309991903,656834694,138448158,3346018254,1526476118
500207,3995716650,1392526154,2471936535,1868500283,227741247,3263357809,170239184,1310124508,3674053633
500208,476481605,1557441939,2096044727,1399458857,639370526,540394991,2003979135,841990043,51352836
500209,1126268746,1573173914,2366545331,1317362354,885052490,299619604,2146136373,2108528508,605920709
500210,3411288220,637484744,167008941,840833543,4169879872,883285562,121990834,2201917087,107439616
500211,3249390945,1535742639,61195041,1486322312,4028761922,1635605680,1560058270,2355848969,1319241866
500212,3312078073,582339752,1197352033,4134659423,3748350295,2567317765,1039149322,1415553289,794816456
500213,2454406443,2545596250,3863279319,1930744075,1432294410,2128617863,3303787182,2402690197,797542434
500214,783615575,3083421373,1277269146,4222869691,3267766272,1775240218,448540896,3626997193,745965540
500215,3039146374,2356358077,1250144859,1598532105,305246247,4236300868,3640324212,3013475320,1273089546
500216,3218161402,2317025067,3063408720,2655787304,1949977460,543993358,1470228823,891008886,3800475333
500217,608266141,1488198900,2444217032,711089895,920749687,3055753551,3294570842,2700496153,1501535218
500218,2566776285,67099416,86069601,3231892236,2760650650,3728265177,993518045,2245090153,2161782286
500219,2608130089,480270857,79865506,3893770223,1303655399,1945802558,3668758350,3618305803,478160961
500220,820723346,342170592,177877068,2834169079,1714919353,888233585,2094755158,2276496088,2734859117
500221,1234270062,2988194576,2132292778,3479479740,1921228986,1130208638,2540325716,462291149,2431505061
500222,2351872589,1881099433,1525369230,3453907551,3834805830,1222360588,2074527280,2070860681,3267231398
500223,4058710780,2812347625,84475181,984190919,1555829427,1233600983,4204890375,1363823336,282618600
500224,3723974272,2641095133,18187044,413859244,838808564,1255497990,657519445,2458274420,44105268
500225,2702127351,339117717,536980341,4096003814,3108925978,3131834944,3688814719,465672605,3910415274
500226,1137736448,4120863831,2549318686,508968000,3204282328,796008914,4135742908,1263342042,151125790
500227,1404099187,809679058,3844932277,391096288,3540151305,1747364105,972552836,1881070503,3630162306
500228,3759135982,613763907,4074332815,3349152252,3840140809,2372428146,709331024,1910468008,3052934767
500229,1395532167,210200176,3501093413,9694137,128371374,2994369149,4280826058,2069516545,3768684824
500230,2662181372,1358383761,2418992579,3794715783,1572463127,3357110178,539264033,3883245872,2444862160
500231,4151514069,4051160769,2340913957,3399962418,216890800,293113429,2855053779,3998830465,2705962710
500232,3838703453,310525618,1319614727,1263458057,2940622577,2726092810,3642646902,1259771540,1209741420
500233,1976905125,2150514817,3232470272,3737596795,248311631,3063375335,3252114402,330016821,908678575
500234,354756253,293790662,3592264394,1278415162,950531983,2090355990,253198109,3069371216,3437772464
500235,4125657538,3109907811,3792424192,2633521106,659346490,1858953387,4179049717,835016981,3964966681
500236,847422015,2800641320,793908186,1980398655,1744537600,59892733,1791622688,1617444520,2644574775
500237,1299213116,1684564872,1532536307,1493873906,1373216628,4163968979,1324620602,1575184073,3150776051
500238,1052862917,3724546277,4086545089,2013928092,2635376649,922273587,4155744844,627835085,2123410983
500239,364339247,3363380647,4018141352,2659472559,3324290741,2136298955,3241541643,209840060,1622782313
500240,825159021,2227156234,1857669545,2754173508,2702787357,3421840175,442116697,885372240,3323694081
500241,528338499,4065958549,568055163,2703545773,2999243410,2436423397,1073421018,1563257326,3325550114
500242,460986453,2624604913,4041092789,872664960,2567726886,1506035753,523805215,2867932672,824368973
500243,3992204476,3404836860,2390621308,2596209194,1174203288,373345949,2694422095,3270033059,1845978697
500244,580947760,818399079,4235085128,3486857554,464385879,1199351303,2901637396,1392712170,2688790860
500245,1222531227,3746639893,1075993867,2571696731,3536324441,1464853738,829356524,3494854042,1263196262
500246,34683780,3800603643,4007503671,2245762044,617744434,1445619148,2982001991,3946793993,3458590828
500247,4291966539,1098601871,2792878215,2071954141,2672052352,1515049484,2226464017,972031260,476595677
500248,3194283444,1862849807,4047028965,1129328460,3160665456,4131867562,1444497930,451534102,3758953897
500249,2326836790,1161168434,594394929,1088041280,3186470146,3862871544,4130975593,685781672,2500167798
500250,868367494,3765262921,2743473335,2564403836,3831997251,2603278675,1619110354,3976272480,313963751
500251,3963661299,2728994074,705538239,3808487392,523744594,1242048341,2616745785,22500028,7256173
500252,2297958020,3495075732,1711677719,188949870,1448579218,2698582610,206513852,4028311318,1434441802
500253,223337629,635319865,1846456426,2602809448,2565187503,124433765,1788287828,3772099362,2083392495
500254,923628428,2129062672,3066843953,3597604583,3344088873,707141603,1261464816,1015286704,3582333776
500255,218417810,3765407981,3320271936,271520141,1608077722,3284082264,2513590351,2003489580,344596196
500256,2069923761,3356129496,2170798605,2863117309,1114986503,3317775455,389328406,867216932,3743542497
500257,2624767303,716226742,767246084,1787201069,712749085,395801483,2317682482,477417643,3406932438
500258,2989438700,2256624846,1846408291,1099783841,385782630,955243389,4047563111,118988999,697071319
500259,344276630,2110454465,2355876981,2259432694,1351620205,2075233307,38316032,3747553126,2102929244
500260,824631953,2433223406,3581723676,1759940581,4107185004,412514815,2182039855,3794295559,1238791183
500261,2756310010,516009150,45848224,2828496345,2540254908,1296801038,3384147670,1081012774,2203238440
500262,2317427365,4111746461,1896727201,4033388477,3299863293,2006758852,2770918168,579601492,1169761715
500263,3371464636,418600693,2547386296,3552796895,3168257366,4145385874,1719507363,2627061537,2999294232
500264,3870330395,1005300492,2963474706,3865243597,251470751,3455774903,3236929961,3269657201,1888952065
500265,1406421889,3677677811,2775872194,1057202909,2532163050,3013120703,275762031,1910894725,681684699
500266,2655645030,3586449657,26353783,4077617169,3991390494,1958563998,3467994532,1214633617,1032823204
500267,3481401812,1497277762,2560603140,4206196415,4033534645,3467117722,2629786191,2352357008,976484474
500268,1796784417,196001642,52700134,2281356672,2377573492,2376819239,3702748225,4265111512,2395848845
500269,2079805578,3517779042,975467140,1994145293,2177843324,417294348,3861952047,1841394822,1824963956
500270,4100796519,3048060844,2418455051,3704830194,2636851703,4071320009,763537632,3499062337,3852539492
500271,3168459609,1850325228,1772443522,3682190722,1208772510,345345262,4222189676,380618816,1717128058
500272,1686268011,3660755545,427154614,2368208094,4135438895,2041440814,2785819275,1919304456,3871439292
500273,2048041073,143740145,3019729658,601820643,2289029025,4254163222,1401213360,3191807495,2337958860
500274,491636488,596187316,1300204810,145094180,844319172,963805134,2163241543,353947453,1774061475
500275,388791221,3827931937,1654790139,1149808811,2428566448,3283044533,604433333,3926894807,3241898348
500276,88227081,1006550094,175550413,688529176,1166763476,1880998122,2885080031,683401376,2701302367
500277,2383756473,1476954738,984480753,1036327301,1928622058,737049199,2223275968,212545321,1354580258
500278,924365007,1476002684,3808075030,3532713824,2446352011,1006915646,2616043697,2546456102,3298808220
500279,2638744018,3979943623,590129336,1870891716,707160144,604398261,1184515647,3269205349,2929108960
500280,1185223714,2352313895,1564171976,1575284915,1127363701,3527655900,1834922631,3708378700,2817834291
500281,4067311208,3861411931,3167750054,3581156572,2830756521,1253081381,1255571930,1316905063,1127806095
500282,754473892,443397354,1567103617,2429378340,2653430462,2807204881,2159728728,2403977878,2313487496
500283,674256461,1001094019,2510949189,2114646378,3031990687,3493020269,1634298893,4101820926,4058437381
500284,254856156,2752600080,3845407116,3193314433,1867512034,2171380834,2801226600,2660279565,2402032270
500285,2342829310,2321043821,3402253371,2031561659,2373462000,3049412108,971617374,477092341,1358542435
500286,806637109,3136641905,2936753765,2125359333,2070224447,801231655,4202166029,3239793438,3854055837
500287,411031885,2899805264,4038811281,579217342,1535250333,1143071867,2384140656,430678014,3529824686
500288,1772495336,2851544675,1167706939,1750753038,1333125288,1386541668,2691030141,94968113,4135481566
500289,1202170586,1430817209,418247621,1573581901,2312595711,2795223720,2219946713,5877226,3694085233
500290,2382878109,2192953870,6838528,2896068911,145685137,3562762880,2763151350,1264500282,1721727677
500291,783067794,1894963693,2609605560,3016986262,877415210,1637185270,2902257731,993842916,3187809649
500292,738217011,3553976074,154974745,1660563462,1331158566,428252313,3821638666,2199628284,899734621
500293,3991234537,1848968031,2241962967,2169874740,979296136,1760833634,3218978781,441492756,2215288561
500294,3193519892,3492416346,160024636,3238959219,940713346,2054184931,4033577663,603443405,291925715
500295,2277222019,3707623840,1569935509,2925741350,2267307603,1102584832,492747612,3858993516,1228415779
500296,4008316409,2670343057,3502108319,3364854838,2221228208,808075997,1451915875,1767100875,2302796086
500297,3194089030,2253596397,2038381327,2101965644,2704249004,29499684,859833438,4129299595,1809322323
500298,3624689010,3432724911,2686068167,2598062341,1233400520,629358816,397866537,1419621803,2058676410
500299,1337080272,3175948883,1551125455,1842823057,3724671382,3282717269,2653516791,1330535638,3912795507
500300,1054211016,246859017,1500302502,2030645917,2231224654,2808491608,470782870,4260197177,1705988009
500301,4047899256,2120906720,476215545,1528740786,3413564020,1316902245,1263104792,192391568,3952945288
500302,2663713368,1318436446,2838379500,2378605832,2187740705,2127584390,1873082660,3735930231,2974590260
